id,text,intent,expected_action,notes,human_intent,human_action,status,suggested_human_intent,suggested_human_action,review_note
523825,@241073 @AppleSupport I have that problem too. Please help,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,,,pending,other_complaint,ESCALATE,AI suggestion only — manually verify and approve.
2002212,@applesupport. hi. word on the street is i can inquire about my phone's battery life here. seems to be dying ...,battery_issue,ESCALATE,Needs Human Review,,,pending,battery_issue,AUTO_HANDLE,AI suggestion only — manually verify and approve.
1134140,@AppleSupport i can't reset my password for my apple id please help,keyboard_autocorrect_bug,ESCALATE,Needs Human Review,,,pending,apple_id_icloud_issue,ESCALATE,AI suggestion only — manually verify and approve.
669244,@AppleSupport why when i turn my WiFi off does it suddenly come back on?? Fix this.,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,,,pending,connectivity_issue,ESCALATE,AI suggestion only — manually verify and approve.
2743029,@AppleSupport No. She doesn’t have a twitter account and she’s in her mid-80s. Easier via me. What’s the issue do you think?,other_complaint,AUTO_HANDLE,Needs Human Review,,,pending,other_complaint,ESCALATE,AI suggestion only — manually verify and approve.
1375800,"@AppleSupport Yep,  it was there. I fix it by restoring from a backup and running update again.",software_update_issue,AUTO_HANDLE,Needs Human Review,,,pending,software_update_issue,AUTO_HANDLE,AI suggestion only — manually verify and approve.
966331,Is anyone have a problem updating to #iOS 11.0.3 🤔 @349334 @AppleSupport https://t.co/JgJwCx8mQp,software_update_issue,AUTO_HANDLE,Needs Human Review,,,pending,software_update_issue,AUTO_HANDLE,AI suggestion only — manually verify and approve.
2122589,@AppleSupport fix the auto correct bugs and the I️ bug. You know what I’m talking about!,keyboard_autocorrect_bug,ESCALATE,Needs Human Review,,,pending,keyboard_autocorrect_bug,AUTO_HANDLE,AI suggestion only — manually verify and approve.
932778,@115858 this iOS 11 update has trashed my brand new iphone. This is ridiculous.,software_update_issue,AUTO_HANDLE,Needs Human Review,,,pending,software_update_issue,AUTO_HANDLE,AI suggestion only — manually verify and approve.
2301986,lm using lowercase L’s as l’s until @AppleSupport fixes this question mark shit😑,other_complaint,ESCALATE,Needs Human Review,,,pending,keyboard_autocorrect_bug,AUTO_HANDLE,AI suggestion only — manually verify and approve.
1598120,"This @AppleSupport update blows. And for what we pay for these phones, they should do that too.",software_update_issue,AUTO_HANDLE,Needs Human Review,,,pending,software_update_issue,AUTO_HANDLE,AI suggestion only — manually verify and approve.
1981773,Man what the fuck is this I️ @115858,other_complaint,ESCALATE,Needs Human Review,,,pending,other_complaint,ESCALATE,AI suggestion only — manually verify and approve.
364721,@AppleSupport Thats wat i do but that works not always good...,keyboard_autocorrect_bug,ESCALATE,Needs Human Review,,,pending,other_complaint,ESCALATE,AI suggestion only — manually verify and approve.
1921538,"@AppleSupport I’m part of the Apple upgrade program. If I can’t pre order this time, I’ll be able to the next wave correct?",keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,,,pending,other_complaint,ESCALATE,AI suggestion only — manually verify and approve.
961710,@AppleSupport Is this true or false? https://t.co/DqF9O88IX7,scam_phishing_report,AUTO_HANDLE,Needs Human Review,,,pending,other_complaint,ESCALATE,AI suggestion only — manually verify and approve.
2239373,"Rang @115858 support for help getting my iCloud to fucking work and ended up losing every photo/video I have, fucking good 1 apple, cheers👍🏼",keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,,,pending,apple_id_icloud_issue,ESCALATE,AI suggestion only — manually verify and approve.
1107374,@AppleSupport I’ve sent you a DM.,other_complaint,AUTO_HANDLE,Needs Human Review,,,pending,other_complaint,ESCALATE,AI suggestion only — manually verify and approve.
545262,@AppleSupport hi I have an iPhone x that every 30 seconds or so is now re-locking itself. Even if I don’t unlock it to begin with or if I am actively using it. This fault developed in the middle of the night. Is it a known issue and what can be done to resolve? Thank you,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,,,pending,other_complaint,ESCALATE,AI suggestion only — manually verify and approve.
1470688,@AppleSupport DO SOMETHING @115858 https://t.co/dIDiJhhclj,other_complaint,AUTO_HANDLE,Needs Human Review,,,pending,other_complaint,ESCALATE,AI suggestion only — manually verify and approve.
2144654,"@AppleSupport Ok, how do I fix “it” changing to I.T.",keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,,,pending,keyboard_autocorrect_bug,AUTO_HANDLE,AI suggestion only — manually verify and approve.
2015961,@115858 can you fix the letter I️ pls https://t.co/e9NP7IYTux,other_complaint,AUTO_HANDLE,Needs Human Review,,,pending,other_complaint,ESCALATE,AI suggestion only — manually verify and approve.
1005209,So @115858 can make a phone that can read ur fingerprint And they cant make a charger that actually freakin charges?!!!,battery_issue,AUTO_HANDLE,Needs Human Review,,,pending,battery_issue,AUTO_HANDLE,AI suggestion only — manually verify and approve.
2229409,"@115858  what the fuck is wrong with your new ios, i slept with my phone battery percent at 45% and when i woke up it was 6% 😡😡😠",battery_issue,AUTO_HANDLE,Needs Human Review,,,pending,battery_issue,AUTO_HANDLE,AI suggestion only — manually verify and approve.
433077,"Email posing as Apple. 😒

@AppleSupport https://t.co/LFrZOaWQd5",scam_phishing_report,AUTO_HANDLE,Needs Human Review,,,pending,other_complaint,ESCALATE,AI suggestion only — manually verify and approve.
