id,text,intent,expected_action,notes,human_intent,human_action,status
523825,@241073 @AppleSupport I have that problem too. Please help,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2002212,@applesupport. hi. word on the street is i can inquire about my phone's battery life here. seems to be dying ...,battery_issue,ESCALATE,Needs Human Review,battery_issue,AUTO_HANDLE,reviewed
1134140,@AppleSupport i can't reset my password for my apple id please help,keyboard_autocorrect_bug,ESCALATE,Needs Human Review,apple_id_icloud_issue,ESCALATE,reviewed
669244,@AppleSupport why when i turn my WiFi off does it suddenly come back on?? Fix this.,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,connectivity_issue,ESCALATE,reviewed
2743029,@AppleSupport No. She doesn’t have a twitter account and she’s in her mid-80s. Easier via me. What’s the issue do you think?,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1375800,"@AppleSupport Yep,  it was there. I fix it by restoring from a backup and running update again.",software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
966331,Is anyone have a problem updating to #iOS 11.0.3 🤔 @349334 @AppleSupport https://t.co/JgJwCx8mQp,software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
2122589,@AppleSupport fix the auto correct bugs and the I️ bug. You know what I’m talking about!,keyboard_autocorrect_bug,ESCALATE,Needs Human Review,keyboard_autocorrect_bug,AUTO_HANDLE,reviewed
932778,@115858 this iOS 11 update has trashed my brand new iphone. This is ridiculous.,software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
2301986,lm using lowercase L’s as l’s until @AppleSupport fixes this question mark shit😑,other_complaint,ESCALATE,Needs Human Review,keyboard_autocorrect_bug,AUTO_HANDLE,reviewed
1598120,"This @AppleSupport update blows. And for what we pay for these phones, they should do that too.",software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1981773,Man what the fuck is this I️ @115858,other_complaint,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
364721,@AppleSupport Thats wat i do but that works not always good...,keyboard_autocorrect_bug,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
1921538,"@AppleSupport I’m part of the Apple upgrade program. If I can’t pre order this time, I’ll be able to the next wave correct?",keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
961710,@AppleSupport Is this true or false? https://t.co/DqF9O88IX7,scam_phishing_report,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2239373,"Rang @115858 support for help getting my iCloud to fucking work and ended up losing every photo/video I have, fucking good 1 apple, cheers👍🏼",keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,apple_id_icloud_issue,ESCALATE,reviewed
1107374,@AppleSupport I’ve sent you a DM.,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
