id,text,generated_reply,human_correctness,human_groundedness,human_helpfulness,human_relevance,human_tone,llm_correctness,llm_groundedness,used_fallback
1978431,@AppleSupport if I buy an iPhone X now will I get it on release date (03/11/17)?,"to clarify, when you ordered your iPhone X on the upgrade program, you were eligible for same-day pickup at the Apple Store on the release date, 03/11/17. Please check the details from the upgrade program information you received.",,,,,,4,5,False
2239373,"Rang @115858 support for help getting my iCloud to fucking work and ended up losing every photo/video I have, fucking good 1 apple, cheers👍🏼","I'm sorry to hear you're experiencing issues with your iCloud. I'd be happy to help you troubleshoot. Can you DM me with more details about the problems you're facing, such as any error messages you see or any recent changes you've made to your iPhone?",,,,,,4,5,False
849912,"@AppleSupport bonjour , depuis la maj iOS 11.0.3 mon iPhone6+ fige et le clavier est lent. Solution ? #obsolescence","Bonjour , pourquoi le clavier de mon iPhone 6+ est-il lent depuis l'installation de iOS11 ?",,,,,,4,5,False
2013185,@AppleSupport @115858... can you explain why I’m still seeing boxes when I already updated my phone.??,can you explain why you're still seeing boxes on your phone? We've seen similar issues in the past and we'd be happy to help you work around it until the issue is resolved in a future software update. DM us for more details.,,,,,,4,5,False
1841298,I am so disappointed in the new iOS. My camera and Siri doesn’t work at all anymore. And my screen is unresponsive. Thanks @AppleSupport 😐,"sorry to hear about the issues with your camera and Siri not working, and your screen not responding. Can you DM us with which iOS 11 version you're running? We want to help you get back to normal.",,,,,,4,5,False
596916,FIX IT @115858,we appreciate you reaching out to us about the issue with your device. We're sorry to hear it's not working as expected. Could you DM us so we can assist you further? We're here to help and want to ensure you get the support you need. DM us to continue.,,,,,,4,5,False
404106,"iOS 11 f**king load of shit, apps don’t download unless I go to passcode and back in again, emails freeze? Calendar freezes @AppleSupport","Hi there, I'm happy to help you with your issue. I understand you're experiencing problems with your iOS 11 device, including apps freezing and emails freezing. Can you DM me with your iPhone model and which version of iOS 11 you're running? I'll do my best to assist you further.",,,,,,4,5,False
291408,@185384 @15549 looks like you’re not the only one! @AppleSupport I got problems with volume and screen freezing too!,"Unfortunately, it looks like you're experiencing volume and screen freezing issues with your iPhone. We'd like to help you troubleshoot this further. Have you installed the latest iOS 11.0.2 update? DM us to continue and we'll help you get back to normal.",,,,,,4,5,False
2205946,@AppleSupport It’s 5pm and my phone is at 30% - on low power mode - and I have barely used it being I’ve been on a computer all day. I would like to know when you’re going to fix this. The phone is not even 2 months old,Sorry to hear that your iPhone is not charging properly. We'd like to help diagnose the issue. Could you please DM us with your iPhone's software version to see if we can identify the cause of the problem?,,,,,,4,5,False
34610,"Oh great, iMessage not working after the latest iOS update. 😐 @AppleSupport",sorry to hear that iMessage not working after the latest iOS update. Predicted intent: software_update_issue. DM to let us know which iOS version is installed and we'll take it from there.,,,,,,4,5,False
1786605,"@AppleSupport iOS 11 is awful, I’d like to use my phone for more than 30min at a time without it either dying or freezing up",I'd love to help you troubleshoot this issue. Has your phone been experiencing any unusual battery drain or freezing issues since switching to iOS 11? DM me and let's get started.,,,,,,4,5,False
598127,@115858 why in THE FUCK does my phone keep changing it to I.t ????? https://t.co/0454vtSFBv,"Hey there, I understand how frustrating it can be when your phone is acting up. It sounds like your phone is having trouble syncing with iCloud. Can you DM me and tell me which iPhone model you have and the iOS version you're currently running? We'll do our best to help you resolve the issue.",,,,,,4,5,False
2004522,Help!!!! This is ridiculous @115858 https://t.co/VnHN2sqOC1,I'm sorry to hear you're experiencing issues with your device. Can you DM us for more assistance?,,,,,,4,5,False
2775946,@AppleSupport Is a full backup required before downloading the latest iOS?,"Yes, a full backup is recommended before downloading the latest iOS. Can you tell me which version of iOS you're using? DM if you have any questions.",,,,,,4,5,False
1656103,Okay @AppleSupport I updated my phone so wHY am I still seeing a question mark in the place of the letter “I”,"Hi , thanks for letting us know about the issue. I'm seeing a question mark box pop up when I type the letter 'I' in messages. Can you please help me find a workaround to resolve this? DM me to share more details",,,,,,4,5,False
1946912,"@AppleSupport iOS 11.0.3 caused my i7 Plus to freeze, apps to crash, many more bugs. Even worse than iOS 11 when launched. Seriously @115858?",Sorry to hear that your i7 Plus is having issues with iOS 11.0.3. DM us to discuss further and we'll do our best to assist you.,,,,,,4,5,False
566729,"@AppleSupport It’s hard to tell, nothing really reaches that far when I try. I have noticed that if I want to select something I have to start above it and drag my finger down to what I’m trying to press and then it’ll work",Sorry to hear that you're having trouble with your keyboard. Can you DM us for more troubleshooting steps?,,,,,,4,5,False
2295347,"@115858 @AppleSupport help!! My AppleTV is stuck on ethernet mode and I cannot switch it to Wi-Fi. I tried resetting it, restarting it, and praying. Please help!! I no longer have Ethernet","don't worry, I've got you covered. Can you DM me with your Apple TV model and iOS version for me to check if there's an issue? Additionally, have you tried restarting your modem since you got this message?",,,,,,4,5,False
2376106,I got a new phone and my iMessage or FaceTime on my laptop won’t sync to my phone. HELP ☹️ @115858,it sounds like you're experiencing an autocorrect bug that's causing your iMessage and FaceTime to not sync with your phone. DM us so we can look into this further with you. We'll do our best to get your iPhone up and running smoothly again.,,,,,,4,5,False
794578,"@AppleSupport there is an issue with iOS11 ,whenever I switch on data on my iPhone 7 the internet just doesn’t work .Only upon restart works","Sorry to hear that your iPhone 7 isn't working properly after the iOS 11 update. Can you DM us to discuss this further, as we'd like to understand the issue you're experiencing?",,,,,,4,5,False
1002312,@AppleSupport @116333 Love this new feature of iOS 11. Can you figure out what’s wrong? https://t.co/73oRJtqgwM,We're here to help. Can you DM us with your iOS version so we can take a closer look at your iPhone's News app together?,,,,,,4,5,False
1107374,@AppleSupport I’ve sent you a DM.,I've received your DM. We're here to help you with your Apple ID issue. Can you please DM us back to share more details?,,,,,,4,5,False
978359,Can’t turn off speakerphone after iOS11 update. This is a joke right? @115858,"Hi , sorry to hear that your speakerphone isn't working after the iOS 11 update. We know how important sound is to your iPhone experience. Have you checked the sound settings? And can you tell us more about the issue? DM us:",,,,,,4,5,False
1231310,@AppleSupport I am looking to buy a few hundred tablets and am interested in the iPad Air 2.  Is this model still in production and available at this quantity?  Thanks.,Can you please check the availability of iPad Air 2 and the quantity in stock for your region? I'd like to know if I can purchase a few hundred tablets. DM me for more information.,,,,,,4,5,False
1905350,"2/2 @AppleSupport 
I’m dying over here &amp; have never wanted to crush my phone so bad.",I'm so sorry to hear that you're experiencing issues with your phone. Can you DM me with your iOS version and any recent changes to your phone? I'd like to help you troubleshoot the issue and find a solution that works for you.,,,,,,4,5,False
2042672,"@AppleSupport iOS11 update sucks! Freezing, &amp; clock is stuck home screen",Sorry to hear that your iPhone is experiencing freezing issues. Can you DM us for more info on what's happening? We'd be happy to help you troubleshoot further and see if we can't get your iPhone up and running smoothly.,,,,,,4,5,False
2751105,@AppleSupport Up to date with 11.1.2 🙂,Up to date with 11.1.2 Thanks. What happened when you tried to enroll your fingerprint? DM us in case you see any issues.,,,,,,4,5,False
1589964,"Why am I seeing these little boxes with question marks in them instead of emojis? I’ve already updated my phone.

@AppleSupport","Hi , Sorry to hear that you're seeing question marks instead of emojis. I'm going to investigate this further. Can you please DM me with more details about your device, iPhone model, and the apps you're using? I'll do my best to help you resolve the issue.",,,,,,4,5,False
857089,"@AppleSupport 
My iPhone won’t respond at all; I can’t click any apps or even turn the phone off","Hi, I'm experiencing the same issue. My iPhone won't respond at all. I've tried pressing the buttons & screen, but nothing happens. Can you help me resolve this issue? DM me if iOS 11.0.3 shows in Settings &gt; General &gt; About.",,,,,,4,5,False
2940396,"@AppleSupport thanks. the blue line at the top of the messages window starts progressing on my MacBook Pro when I hit return but then it hangs near the end. after some time it says ""not delivered"". I've tried logging in &amp; out of messages &amp; restarting computer.",sorry to hear that your MacBook Pro's messages window is not delivering/receiving messages consistently. Can you confirm which macOS version you're running? DM if you'd prefer to chat and we'll get started.,,,,,,4,5,False
2301986,lm using lowercase L’s as l’s until @AppleSupport fixes this question mark shit😑,I'm sorry to hear you're experiencing this issue. Can you DM us which iOS software version you are using so we can try to resolve the issue for you? We're here to help.,,,,,,4,5,False
1470688,@AppleSupport DO SOMETHING @115858 https://t.co/dIDiJhhclj,DM for more details on your issue. Is your music pausing when taking specific actions? Which iOS update is currently installed? -,,,,,,4,5,False
564052,@AppleSupport @115858 como faço para ver esse defeito já que paguei caro por um aparelho https://t.co/dqBkrHl77f,"para resolver esse problema, precisamos de mais informações sobre o que está acontecendo. Por favor, responda a  ou DM para mais detalhes.",,,,,,4,5,False
2801475,@AppleSupport 11.1.2,I'm sorry to hear you're experiencing issues with your device. Can you please DM us and we'll look into this deeper to help you resolve the issue?,,,,,,4,5,False
