id,text,generated_reply,suggested_correctness,suggested_groundedness,suggested_helpfulness,suggested_relevance,suggested_tone,suggestion_reason
1978431,@AppleSupport if I buy an iPhone X now will I get it on release date (03/11/17)?,"you're right to wait a few days for the iPhone X to arrive on the upgrade program. As per your Online Sales team's guidance, you can pre-order the iPhone X starting on October 27. You can find more information on the upgrade program on their support page:",3.0,5.0,2.0,4.0,5.0,Incorrectly stated release date and upgrade program information.
2239373,"Rang @115858 support for help getting my iCloud to fucking work and ended up losing every photo/video I have, fucking good 1 apple, cheers👍🏼","Sorry to hear about the issues with your iCloud, . It sounds like you're experiencing some problems with storing and accessing your photos and videos. Can you DM us a bit more info so we can better assist you? We're here to help resolve the issue for you.",3.0,5.0,2.0,4.0,5.0,Polite but unhelpful response does not address the customer's issue.
849912,"@AppleSupport bonjour , depuis la maj iOS 11.0.3 mon iPhone6+ fige et le clavier est lent. Solution ? #obsolescence","Bonjour, , depuis l'installation de iOS 11.0.3, mon iPhone6+ est fige et le clavier est lent. Pour plus d'informations, je suis désolé de ne pas pouvoir vous aider à résoudre le problème.",3.0,5.0,2.0,4.0,5.0,"Generic reply does not address the customer's issue, lacks specific details, and uses overly polite language."
2013185,@AppleSupport @115858... can you explain why I’m still seeing boxes when I already updated my phone.??,"I'm experiencing the same issue with boxes popping up on my iPhone. I updated it, but I'm still seeing them. Can you tell me what's causing this issue and if there's a way to resolve it until a future update?",3.0,5.0,2.0,4.0,5.0,"The reply does not address the customer's specific issue, instead providing a generic explanation for the issue. It also does not provide any concrete solutions or next steps."
1841298,I am so disappointed in the new iOS. My camera and Siri doesn’t work at all anymore. And my screen is unresponsive. Thanks @AppleSupport 😐,I'm so sorry to hear about the issues you're experiencing with your iPhone. Can you DM me so we can try to troubleshoot further? Our team is here to help.,3.0,5.0,2.0,4.0,5.0,Generic response does not address the customer's issue.
596916,FIX IT @115858,"I understand you're experiencing issues with the autocorrect feature. I'm here to help. Have you tried checking the 'Autocorrect' settings in the Settings app to ensure it's set to 'Automatic'? We recently released a software update, 11.1.1, that addresses autocorrect issues. Can you DM me to access the update instructions?",3.0,5.0,2.0,4.0,5.0,"Generic reply does not address the customer's issue, lacks personalization, and does not provide a clear solution."
404106,"iOS 11 f**king load of shit, apps don’t download unless I go to passcode and back in again, emails freeze? Calendar freezes @AppleSupport",we're so sorry to hear that your iPhone is experiencing issues with loading apps and freezing on iOS 11.1.2. DM us and we'll work together to help you get back to normal. Which iPhone model are you experiencing these issues on?,3.0,5.0,2.0,4.0,5.0,Polite but unhelpful response does not address the customer's issue.
291408,@185384 @15549 looks like you’re not the only one! @AppleSupport I got problems with volume and screen freezing too!,"We're sorry to hear you're experiencing volume issues and screen freezing on your iPhone 8. We'd like to help you troubleshoot further. To confirm, have you installed the latest iOS update? DM us to continue.",3.0,5.0,2.0,4.0,5.0,"Generic reply does not address the customer's issue, lacks specific details, and uses overly polite language."
2205946,@AppleSupport It’s 5pm and my phone is at 30% - on low power mode - and I have barely used it being I’ve been on a computer all day. I would like to know when you’re going to fix this. The phone is not even 2 months old,"Sorry to hear about the low battery issue on your phone. Given the age of your device, I'd like to help you troubleshoot the problem. Can you DM me or ask a clarifying question regarding the low power mode and battery percentage? I'd be happy to assist you further.",3.0,5.0,2.0,4.0,5.0,Polite tone does not necessarily imply helpfulness.
34610,"Oh great, iMessage not working after the latest iOS update. 😐 @AppleSupport",Sorry to hear that your iMessage is not working. Can you please DM us with the iOS version you're using and describe the issue you're experiencing? We'll do our best to assist you.,3.0,5.0,2.0,4.0,5.0,"Polite response, but lacks specific details and may be seen as dismissive."
1786605,"@AppleSupport iOS 11 is awful, I’d like to use my phone for more than 30min at a time without it either dying or freezing up","Sorry to hear you're experiencing issues with your iPhone. Can you please DM us with more details about the problems you're experiencing, such as when the issues happen and any apps you're using? We'll do our best to assist you and help you get your device up and running smoothly again.",3.0,5.0,2.0,4.0,5.0,"Polite response, but lacks specific details and may be perceived as dismissive."
598127,@115858 why in THE FUCK does my phone keep changing it to I.t ????? https://t.co/0454vtSFBv,can you DM me a picture of your iPhone so we can take a closer look at the issue? we'd like to understand what's going on with your phone.,3.0,5.0,2.0,4.0,5.0,Polite response does not address the customer's issue directly.
2004522,Help!!!! This is ridiculous @115858 https://t.co/VnHN2sqOC1,"Hi , we're here to help. DM us to discuss further and we'll do our best to assist you in resolving the issue.",3.0,5.0,2.0,4.0,5.0,Generic reply does not address the customer's issue.
2775946,@AppleSupport Is a full backup required before downloading the latest iOS?,"Yes, a full backup is recommended before downloading the latest iOS. We'd love to help if you're experiencing issues on your iOS devices. Can you DM us with the version of iOS you're updated to?",3.0,5.0,2.0,4.0,5.0,Incorrectly assumes the customer is experiencing issues on their iOS devices without providing any context.
1656103,Okay @AppleSupport I updated my phone so wHY am I still seeing a question mark in the place of the letter “I”,"Hi , I've updated my phone and still see a question mark in the place of the letter 'I'. I'm seeing this issue in messages I type, but also in posts and messages from others. Could you please help me resolve this? DM me to get started. We're working on a resolution.",3.0,5.0,2.0,4.0,5.0,Generic reply does not address the customer's specific issue.
